Customer_ID,Gender,Age,Signup_Date,Last_Purchase,Total_Spend,Payment_Method,Subscription_Type,Contract,Support_Calls,Monthly_Visits,Churn
1.0,M,39.0,2023-07-06 19:48:53.715481,2025-01-24 19:48:53.722594,1421.85,PayPal,,Month-to-Month,0.0,15.7,1.0
2.0,M,33.0,2022-07-30 19:48:53.715522,2024-02-11 19:48:53.722602,845.03,Credit Card,Premium,Month-to-Month,3.0,27.8,1.0
3.0,F,41.0,2020-10-19 19:48:53.715530,2024-02-16 19:48:53.722608,1483.08,Credit Card,Premium,,4.0,23.2,1.0
4.0,F,50.0,2021-03-17 19:48:53.715536,2023-10-19 19:48:53.722614,1904.93,PayPal,Premium,One Year,1.0,18.0,1.0
5.0,M,32.0,2020-02-29 19:48:53.715541,2024-09-11 19:48:53.722619,775.05,Credit Card,Standard,Month-to-Month,6.0,7.0,
6.0,F,32.0,2021-07-20 19:48:53.715550,2024-11-11 19:48:53.722625,,Debit Card,Premium,Two Year,9.0,19.2,1.0
,M,50.0,2020-06-11 19:48:53.715561,2024-10-27 19:48:53.722630,1349.85,Credit Card,Premium,One Year,8.0,,0.0
8.0,M,42.0,,2024-10-23 19:48:53.722637,1934.02,,,One Year,1.0,15.8,0.0
9.0,F,,2020-09-10 19:48:53.715583,2023-11-26 19:48:53.722644,542.15,Credit Card,Standard,Two Year,7.0,4.0,1.0
10.0,F,40.0,,,877.88,Credit Card,Premium,,6.0,27.2,0.0
,F,,2020-03-05 19:48:53.715595,,1358.87,Credit Card,Premium,Month-to-Month,3.0,17.0,1.0
12.0,F,,2020-03-25 19:48:53.715600,2024-05-02 19:48:53.722670,1088.29,Credit Card,Premium,One Year,4.0,18.5,0.0
13.0,M,37.0,2019-09-14 19:48:53.715608,2024-08-07 19:48:53.722680,1363.77,Credit Card,Premium,Two Year,,21.8,1.0
14.0,,18.0,2022-01-15 19:48:53.715617,2024-08-01 19:48:53.722688,1346.56,Credit Card,Premium,One Year,,22.8,0.0
15.0,M,18.0,2023-02-26 19:48:53.715626,2023-10-15 19:48:53.722697,1498.57,PayPal,Premium,Month-to-Month,2.0,26.5,1.0
16.0,F,29.0,2023-08-08 19:48:53.715637,2024-10-13 19:48:53.722706,291.85,PayPal,Standard,Two Year,,,0.0
17.0,M,24.0,2024-03-20 19:48:53.715646,2023-10-02 19:48:53.722716,,PayPal,Premium,Month-to-Month,4.0,,1.0
18.0,F,38.0,2020-07-01 19:48:53.715656,2024-05-25 19:48:53.722727,407.94,Credit Card,,Two Year,1.0,12.7,0.0
19.0,M,,,2024-01-20 19:48:53.722735,665.86,Credit Card,Standard,Two Year,,3.1,1.0
20.0,,20.0,2020-12-25 19:48:53.715675,2024-01-21 19:48:53.722743,1596.81,,Premium,Month-to-Month,5.0,17.3,1.0
21.0,M,49.0,2020-04-27 19:48:53.715685,2025-01-05 19:48:53.722750,1206.04,Credit Card,Premium,One Year,5.0,21.6,0.0
22.0,F,32.0,2021-04-16 19:48:53.715694,2024-05-16 19:48:53.722758,1922.63,Credit Card,Premium,Month-to-Month,0.0,,
23.0,M,35.0,2024-07-24 19:48:53.715703,2024-10-29 19:48:53.722766,1894.65,PayPal,Premium,Month-to-Month,5.0,26.2,0.0
24.0,M,,2024-02-08 19:48:53.715711,2024-03-28 19:48:53.722773,1051.22,,Premium,One Year,1.0,,1.0
25.0,M,29.0,,2024-02-03 19:48:53.722780,41.14,,Standard,One Year,0.0,8.4,0.0
26.0,M,36.0,2022-05-14 19:48:53.715728,2024-03-12 19:48:53.722789,595.63,Credit Card,Standard,Two Year,4.0,4.2,1.0
27.0,F,23.0,2021-10-28 19:48:53.715738,2024-10-12 19:48:53.722797,1793.13,PayPal,,One Year,3.0,18.4,0.0
28.0,M,38.0,2024-03-22 19:48:53.715747,2024-05-04 19:48:53.722806,,Credit Card,Premium,Month-to-Month,4.0,23.6,0.0
29.0,F,28.0,2020-07-23 19:48:53.715756,2023-10-05 19:48:53.722813,712.97,PayPal,Standard,Two Year,0.0,9.0,1.0
,M,32.0,2024-07-27 19:48:53.715765,2024-04-29 19:48:53.722821,484.42,PayPal,Standard,Two Year,3.0,10.8,
31.0,,28.0,2024-06-22 19:48:53.715771,2024-05-05 19:48:53.722828,428.74,PayPal,Standard,Month-to-Month,1.0,,1.0
32.0,F,53.0,2024-08-08 19:48:53.715776,2024-05-19 19:48:53.722836,833.41,Credit Card,Premium,Two Year,9.0,24.9,
,F,34.0,2019-10-06 19:48:53.715781,,1095.99,Credit Card,Premium,Month-to-Month,4.0,27.8,1.0
34.0,M,24.0,2021-05-14 19:48:53.715787,2024-07-12 19:48:53.722853,1351.54,PayPal,Premium,Two Year,5.0,18.9,0.0
35.0,,43.0,2022-02-17 19:48:53.715793,2024-01-17 19:48:53.722861,1554.2,PayPal,Premium,Month-to-Month,2.0,22.4,1.0
36.0,F,22.0,2020-12-31 19:48:53.715798,2024-03-13 19:48:53.722869,1468.7,PayPal,Premium,,0.0,29.6,1.0
37.0,M,37.0,2022-04-25 19:48:53.715803,2024-07-08 19:48:53.722877,1691.16,Credit Card,Premium,Month-to-Month,9.0,20.0,0.0
,F,18.0,2023-06-29 19:48:53.715809,2024-07-04 19:48:53.722884,1135.72,Credit Card,Premium,One Year,2.0,23.9,1.0
39.0,,21.0,,2023-12-21 19:48:53.722892,1477.94,Debit Card,Premium,Month-to-Month,3.0,16.4,1.0
40.0,F,36.0,2024-10-02 19:48:53.715819,2024-12-26 19:48:53.722899,905.77,PayPal,Premium,Month-to-Month,5.0,,1.0
41.0,M,42.0,2024-05-24 19:48:53.715824,2023-10-13 19:48:53.722906,1296.4,Debit Card,Premium,One Year,0.0,16.3,1.0
42.0,F,36.0,2020-08-08 19:48:53.715830,2025-01-09 19:48:53.722915,1700.19,PayPal,Premium,Two Year,7.0,29.4,0.0
,M,33.0,2023-02-03 19:48:53.715835,2025-01-08 19:48:53.722923,1632.08,Credit Card,Premium,,4.0,25.7,1.0
44.0,M,31.0,2019-11-10 19:48:53.715862,2024-07-29 19:48:53.722930,1988.77,PayPal,Premium,Month-to-Month,2.0,26.8,0.0
45.0,M,20.0,2020-07-26 19:48:53.715872,2024-11-13 19:48:53.722937,229.53,Debit Card,Standard,Month-to-Month,0.0,14.4,0.0
46.0,M,27.0,2020-01-28 19:48:53.715880,2024-01-17 19:48:53.722945,1397.83,Credit Card,Premium,Month-to-Month,,23.8,1.0
47.0,F,,2021-11-11 19:48:53.715889,2023-11-28 19:48:53.722954,1195.44,PayPal,Premium,Two Year,7.0,21.7,
48.0,,45.0,2020-05-12 19:48:53.715898,2024-08-18 19:48:53.722964,1328.72,Credit Card,,,5.0,,0.0
49.0,F,38.0,2024-10-08 19:48:53.715907,2023-12-19 19:48:53.722973,686.99,Credit Card,Standard,One Year,1.0,19.2,0.0
50.0,,,2020-12-19 19:48:53.715915,2024-08-21 19:48:53.722980,1621.05,PayPal,Premium,Month-to-Month,0.0,22.5,1.0
51.0,M,38.0,2019-08-26 19:48:53.715925,2024-07-31 19:48:53.722985,1858.93,Credit Card,Premium,One Year,5.0,29.0,
52.0,M,31.0,2021-06-28 19:48:53.715933,2024-08-19 19:48:53.722990,1044.21,Credit Card,Premium,One Year,4.0,23.7,0.0
53.0,F,28.0,2024-03-04 19:48:53.715942,2024-04-21 19:48:53.722996,1848.03,Credit Card,Premium,Two Year,,23.1,0.0
54.0,M,41.0,2020-12-16 19:48:53.715952,2023-10-26 19:48:53.723002,,Credit Card,Premium,One Year,2.0,21.8,0.0
55.0,F,45.0,2020-11-07 19:48:53.715961,2024-06-20 19:48:53.723007,1866.32,Credit Card,Premium,One Year,1.0,18.1,0.0
56.0,F,44.0,2024-01-24 19:48:53.715970,,269.97,Credit Card,Standard,One Year,5.0,1.1,1.0
,M,26.0,2021-05-25 19:48:53.715979,2024-10-30 19:48:53.723018,1177.51,Debit Card,Premium,Month-to-Month,9.0,18.6,1.0
58.0,F,31.0,,,414.55,Credit Card,Standard,Two Year,1.0,10.7,0.0
,M,38.0,,2025-01-19 19:48:53.723028,753.15,Credit Card,Standard,One Year,4.0,8.2,1.0
60.0,F,44.0,2021-02-18 19:48:53.716007,2024-05-01 19:48:53.723034,857.34,Credit Card,Premium,One Year,3.0,21.7,0.0
61.0,F,,2021-08-07 19:48:53.716017,2024-09-22 19:48:53.723043,288.26,PayPal,Standard,Month-to-Month,3.0,19.6,1.0
62.0,M,33.0,,2025-01-09 19:48:53.723052,1827.89,Credit Card,Premium,One Year,2.0,,
63.0,M,23.0,2024-03-04 19:48:53.716033,2024-02-18 19:48:53.723061,1275.27,PayPal,Premium,One Year,7.0,21.8,0.0
64.0,F,23.0,2022-02-02 19:48:53.716038,2025-01-23 19:48:53.723070,1038.99,PayPal,Premium,Month-to-Month,3.0,17.0,0.0
